
 num     #instances         #bytes  class name
----------------------------------------------
   1:         88155       12518176  [C
   2:          8949        7363776  [I
   3:          8938        6845728  [B
   4:         20746        2422736  [Ljava.lang.Object;
   5:         86992        2087808  java.lang.String
   6:         21658        1905904  java.lang.reflect.Method
   7:         14721        1638624  java.lang.Class
   8:         33237        1063584  java.util.concurrent.ConcurrentHashMap$Node
   9:         22795         729440  java.util.HashMap$Node
  10:          6952         585024  [Ljava.util.HashMap$Node;
  11:         10699         427960  java.util.LinkedHashMap$Entry
  12:         18947         406112  [Ljava.lang.Class;
  13:          5258         378576  java.lang.reflect.Field
  14:         23660         378560  java.lang.Object
  15:          6096         341376  java.util.LinkedHashMap
  16:           783         313592  [Ljava.util.concurrent.ConcurrentHashMap$Node;
  17:         12043         289032  java.util.ArrayList
  18:          5994         287712  java.util.HashMap
  19:             2         262176  [Lcom.hazelcast.client.impl.protocol.MessageTaskFactory;
  20:          3104         248320  java.lang.reflect.Constructor
  21:          7666         245312  java.lang.ref.WeakReference
  22:          3273         209472  java.util.concurrent.ConcurrentHashMap
  23:          6320         202240  java.util.concurrent.locks.ReentrantLock$NonfairSync
  24:          4861         194440  java.lang.ref.SoftReference
  25:          3086         171056  [Ljava.lang.String;
  26:          3010         144480  org.aspectj.weaver.reflect.ShadowMatchImpl
  27:          1825         132624  [S
  28:          1750         121256  [Ljava.lang.reflect.Method;
  29:          3749         119968  java.util.concurrent.locks.AbstractQueuedSynchronizer$Node
  30:          2912         116480  com.fasterxml.jackson.databind.introspect.AnnotatedMethod
  31:            26         106912  [Ljava.nio.ByteBuffer;
  32:          3010          96320  org.aspectj.weaver.patterns.ExposedState
  33:          1600          89600  java.lang.Class$ReflectionData
  34:          3669          88056  java.beans.MethodRef
  35:          2048          81920  org.jboss.netty.util.internal.ConcurrentIdentityHashMap$Segment
  36:          2468          78976  java.util.Hashtable$Entry
  37:          1826          78864  [Z
  38:          1309          73304  java.beans.MethodDescriptor
  39:          1829          73160  java.util.TreeMap$Entry
  40:          2239          71648  java.lang.ref.ReferenceQueue
  41:          1760          70400  org.springframework.util.ConcurrentReferenceHashMap$Segment
  42:             2          65568  [Lcom.aliyun.openservices.shade.com.alibaba.fastjson.util.IdentityHashMap$Entry;
  43:          2048          65536  [Lorg.jboss.netty.util.internal.ConcurrentIdentityHashMap$HashEntry;
  44:           637          60704  [Ljava.util.Hashtable$Entry;
  45:          3695          59120  com.fasterxml.jackson.databind.introspect.AnnotationMap
  46:          1466          58640  com.sun.org.apache.xerces.internal.dom.DeferredTextImpl
  47:          1768          56576  com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder$Linked
  48:          2308          55392  javassist.bytecode.Utf8Info
  49:           571          54816  org.springframework.beans.GenericTypeAwarePropertyDescriptor
  50:           943          52808  java.lang.Package
  51:          1290          51600  com.sun.org.apache.xerces.internal.dom.DeferredAttrImpl
  52:          1780          49048  [Lorg.springframework.util.ConcurrentReferenceHashMap$Reference;
  53:           552          48576  com.fasterxml.jackson.databind.ser.BeanPropertyWriter
  54:           829          46424  java.util.concurrent.ConcurrentHashMap$ValueIterator
  55:          1152          46080  java.util.WeakHashMap$Entry
  56:          1887          45288  com.fasterxml.jackson.databind.introspect.MemberKey
  57:           938          45024  org.springframework.core.ResolvableType
  58:           782          43792  com.sun.org.apache.xerces.internal.dom.DeferredElementImpl
  59:           603          43416  java.beans.PropertyDescriptor
  60:          1351          43232  java.util.LinkedList
  61:          1760          42240  org.springframework.util.ConcurrentReferenceHashMap$ReferenceManager
  62:           843          40464  org.apache.tomcat.util.modeler.AttributeInfo
  63:           630          40320  java.net.URL
  64:           714          39984  org.springframework.beans.PropertyValue
  65:           354          39840  [Lcom.aliyun.openservices.shade.io.netty.util.Recycler$DefaultHandle;
  66:           536          38592  sun.reflect.DelegatingClassLoader
  67:          2328          37248  java.util.concurrent.locks.ReentrantLock
  68:            99          37224  java.lang.Thread
  69:          1546          37104  sun.reflect.generics.tree.SimpleClassTypeSignature
  70:            70          36960  [Ljavassist.bytecode.ConstInfo;
  71:          1522          36528  sun.reflect.annotation.AnnotationInvocationHandler
  72:          1506          36136  [Lorg.aspectj.weaver.ast.Var;
  73:          2241          35856  java.lang.ref.ReferenceQueue$Lock
  74:          1117          35744  java.util.Vector
  75:           299          35648  [Ljava.util.WeakHashMap$Entry;
  76:          1553          35288  [Ljava.lang.reflect.Type;
  77:           620          34720  java.util.zip.ZipFile$ZipFileInputStream
  78:           619          34664  java.util.zip.ZipFile$ZipFileInflaterInputStream
  79:           217          32984  org.springframework.beans.factory.support.RootBeanDefinition
  80:           676          32448  com.fasterxml.jackson.databind.introspect.POJOPropertyBuilder
  81:           667          32016  org.springframework.util.ConcurrentReferenceHashMap$SoftEntryReference
  82:            55          32000  [[C
  83:           788          31520  java.math.BigInteger
  84:          1935          30960  java.util.HashSet
  85:          1252          30048  java.util.jar.Attributes$Name
  86:           935          29920  sun.security.util.DerInputBuffer
  87:           935          29920  sun.security.util.DerValue
  88:           524          29344  org.springframework.core.MethodParameter
  89:          1546          29240  [Lsun.reflect.generics.tree.TypeArgument;
  90:           521          29176  org.apache.ibatis.mapping.ParameterMapping
  91:          1217          28120  [Ljava.lang.reflect.Constructor;
  92:            49          27392  [Ljava.nio.channels.SelectionKey;
